Município,Área Territorial - km² [2022],População residente - pessoas [2022],Densidade demográfica - hab/km² [2022],PIB per capita - R$ [2021]
Sericita,166.012,7345.0,44.24,14303.08
Seritinga,114.769,1819.0,15.85,24357.44
Serra Azul de Minas,218.595,3792.0,17.35,10499.95
Serra da Saudade,335.659,833.0,2.48,28392.42
Serra dos Aimorés,213.574,6944.0,32.51,10433.7
Serra do Salitre,1295.272,11801.0,9.11,83678.44
Serrania,209.27,7621.0,36.42,21083.52
Serranópolis de Minas,551.954,4399.0,7.97,9813.13
Serranos,213.173,1990.0,9.34,19785.54
Serro,1217.813,21952.0,18.03,13982.29
Sete Lagoas,536.928,227397.0,423.51,51894.81
Silveirânia,157.456,2323.0,14.75,15505.21
Silvianópolis,312.166,6179.0,19.79,22619.95
Simão Pereira,135.689,2947.0,21.72,39707.08
Simonésia,486.543,19750.0,40.59,14383.71
Sobrália,206.787,5137.0,24.84,12303.29
Soledade de Minas,196.866,5613.0,28.51,13150.84
Tabuleiro,211.084,4014.0,19.02,17915.28
Taiobeiras,1220.046,33050.0,27.09,16085.74
Taparuba,193.082,3387.0,17.54,15864.94
Tapira,1179.248,4118.0,3.49,140948.55
Tapiraí,407.92,1690.0,4.14,29984.35
Taquaraçu de Minas,329.287,4224.0,12.83,16000.68
Tarumirim,731.753,14709.0,20.1,13189.15
Teixeiras,166.735,12255.0,73.5,16380.33
Teófilo Otoni,3242.27,137418.0,42.38,20893.97
Timóteo,144.381,81579.0,565.03,61482.0
Tiradentes,83.047,7744.0,93.25,25209.23
Tiros,2091.774,7883.0,3.77,59641.82
Tocantins,173.866,16185.0,93.09,20853.44
Tocos do Moji,114.705,3826.0,33.36,17177.37
Toledo,136.776,7214.0,52.74,16912.97
Tombos,285.124,8609.0,30.19,17047.93
Três Corações,828.038,75485.0,91.16,36734.42
Três Marias,2678.253,28895.0,10.79,95324.95
Três Pontas,689.794,55255.0,80.1,32896.24
Tumiritinga,500.073,5886.0,11.77,12198.83
Tupaciguara,1822.53,25470.0,13.98,37169.53
Turmalina,1153.111,20000.0,17.34,21879.01
Turvolândia,221.0,4935.0,22.33,27420.97
Ubá,407.452,103365.0,253.69,30288.91
Ubaí,820.524,11708.0,14.27,9258.29
Ubaporanga,189.045,13017.0,68.86,13424.24
Uberaba,4523.957,337836.0,74.68,59943.87
Uberlândia,4115.206,713224.0,173.31,61038.02
Umburatiba,405.834,2684.0,6.61,17107.6
Unaí,8445.432,86619.0,10.26,50544.26
União de Minas,1147.407,3828.0,3.34,30580.0
Uruana de Minas,598.221,3282.0,5.49,29820.95
Urucânia,138.792,10600.0,76.37,23226.29
Urucuia,2076.942,17479.0,8.42,11061.34
Vargem Alegre,116.664,5780.0,49.54,11970.81
Vargem Bonita,409.888,2158.0,5.26,40894.45
Vargem Grande do Rio Pardo,491.512,4633.0,9.43,13504.4
Varginha,395.396,136467.0,345.14,58817.87
Varjão de Minas,651.505,6969.0,10.7,43704.06
Várzea da Palma,2220.279,33744.0,15.2,26623.1
Varzelândia,814.994,18840.0,23.12,9704.8
Vazante,1913.396,19975.0,10.44,56478.26
Verdelândia,1570.582,7672.0,4.88,12118.32
Veredinha,631.692,5181.0,8.2,23208.11
Veríssimo,1031.823,3411.0,3.31,41671.0
Vermelho Novo,115.242,4899.0,42.51,13235.02
Vespasiano,71.04,129246.0,1819.34,22909.06
Viçosa,299.418,76430.0,255.26,22673.74
Vieiras,112.691,3700.0,32.83,14974.51
Mathias Lobato,172.297,3038.0,17.63,13915.37
Virgem da Lapa,868.914,11804.0,13.58,9585.82
Virgínia,326.515,8908.0,27.28,20855.96
Virginópolis,439.878,10314.0,23.45,17587.98
Virgolândia,281.022,4552.0,16.2,11818.51
Visconde do Rio Branco,243.351,39160.0,160.92,31179.87
Volta Grande,205.552,4443.0,21.61,26633.91
Wenceslau Braz,102.487,2356.0,22.99,13011.59
Abatiá,228.717,7241.0,31.66,30140.55
Adrianópolis,1349.311,6256.0,4.64,63631.39
Agudos do Sul,192.261,10233.0,53.22,22674.09
Almirante Tamandaré,194.228,119825.0,616.93,15947.74
Altamira do Paraná,386.945,3590.0,9.28,67332.6
Altônia,661.56,18742.0,28.33,20747.69
Alto Paraná,407.719,13909.0,34.11,29192.99
Alto Piquiri,447.666,9727.0,21.73,42092.67
Alvorada do Sul,424.25,10326.0,24.34,29176.4
Amaporã,384.735,4762.0,12.38,18911.54
Ampére,298.349,19620.0,65.76,38549.37
Anahy,102.895,2918.0,28.36,41475.92
Andirá,235.944,19878.0,84.25,41191.94
Ângulo,106.021,3235.0,30.51,52613.12
Antonina,891.582,18091.0,20.29,37048.49
Antônio Olinto,469.62,7018.0,14.94,31445.78
Apucarana,556.99,130134.0,233.64,28189.54
Arapongas,382.215,119138.0,311.7,39149.76
Arapoti,1358.176,25777.0,18.98,50824.66
Arapuã,217.371,3527.0,16.23,51561.44
Araruna,493.191,14485.0,29.37,39018.11
Araucária,469.24,151666.0,323.22,170125.52
Ariranha do Ivaí,234.076,2329.0,9.95,63664.72
Assaí,440.347,13797.0,31.33,36478.15
Assis Chateaubriand,980.727,36808.0,37.53,49040.24
Astorga,434.792,25475.0,58.59,33567.88
Atalaia,137.663,3980.0,28.91,45806.54
Balsa Nova,348.926,13395.0,38.39,69966.95
Bandeirantes,445.192,31273.0,70.25,33274.08
Barbosa Ferraz,538.636,10795.0,20.04,26524.95
Barracão,161.213,9759.0,60.53,25538.63
Barra do Jacaré,115.855,2814.0,24.29,53994.67
Bela Vista da Caroba,148.107,4031.0,27.22,31414.33
Bela Vista do Paraíso,242.689,14833.0,61.12,34014.05
Bituruna,1234.946,15533.0,12.58,33658.71
Boa Esperança,302.739,4558.0,15.06,71587.36
Boa Esperança do Iguaçu,151.797,2455.0,16.17,58521.93
Boa Ventura de São Roque,620.453,6378.0,10.28,56993.31
Boa Vista da Aparecida,266.175,7924.0,29.77,24632.62
Bocaiúva do Sul,825.665,13299.0,16.11,21066.48
Bom Jesus do Sul,176.129,3980.0,22.6,33318.79
Bom Sucesso,322.755,6581.0,20.39,22143.17
Bom Sucesso do Sul,195.931,3202.0,16.34,92499.86
Borrazópolis,334.378,7735.0,23.13,39060.72
Braganey,343.321,4854.0,14.14,45249.28
Brasilândia do Sul,291.036,3708.0,12.74,109465.23
Cafeara,185.8,2627.0,14.14,38364.98
Cafelândia,274.904,18997.0,69.1,103778.69
Cafezal do Sul,335.392,4473.0,13.34,37483.08
Califórnia,141.817,8710.0,61.42,29304.69
Cambará,366.153,23212.0,63.39,32034.21
Cambé,495.375,107208.0,216.42,46520.49
Cambira,164.786,9460.0,57.41,35173.74
Campina da Lagoa,796.614,15723.0,19.74,41647.39
Campina do Simão,448.424,3936.0,8.78,39254.11
Campina Grande do Sul,539.245,47825.0,88.69,49376.42
Campo Bonito,433.832,4027.0,9.28,60821.41
Campo do Tenente,304.488,7508.0,24.66,32185.94
Campo Largo,1243.551,136327.0,109.63,42257.57
Campo Magro,275.352,30160.0,109.53,17964.99
Campo Mourão,749.637,99432.0,132.64,53562.73
Cândido de Abreu,1510.16,15244.0,10.09,28869.34
Candói,1512.786,14973.0,9.9,52715.43
Cantagalo,583.304,10933.0,18.74,25184.85
Capanema,419.036,20481.0,48.88,57726.48
Capitão Leônidas Marques,280.063,14648.0,52.3,79030.78
Carambeí,649.68,23283.0,35.84,65176.2
Carlópolis,451.418,16905.0,37.45,31871.53
Cascavel,2091.199,348051.0,166.44,46976.49
Castro,2531.503,73075.0,28.87,50347.9
Catanduvas,580.421,10446.0,18.0,35091.66
Centenário do Sul,371.834,10832.0,29.13,40960.07
Cerro Azul,1341.189,16134.0,12.03,22652.48
Céu Azul,1179.449,11087.0,9.4,79412.65
Chopinzinho,959.692,21085.0,21.97,47651.2
Cianorte,811.666,79527.0,97.98,35771.57
Cidade Gaúcha,403.045,11467.0,28.45,33349.14
Clevelândia,703.638,15070.0,21.42,51273.61
Colombo,197.58,232212.0,1175.28,22842.86
Colorado,407.568,22896.0,56.18,32809.41
Congonhinhas,535.963,8320.0,15.52,32108.39
Conselheiro Mairinck,204.705,3461.0,16.91,39176.79
Contenda,299.037,19128.0,63.97,29222.03
Corbélia,529.137,17470.0,33.02,62009.98
Cornélio Procópio,635.1,45206.0,71.18,37882.76
Coronel Domingos Soares,1556.186,5649.0,3.63,42947.64
Coronel Vivida,684.417,23331.0,34.09,43433.82
Corumbataí do Sul,164.341,3760.0,22.88,28866.17
Cruzeiro do Iguaçu,161.862,4133.0,25.53,41898.39
Cruzeiro do Oeste,775.984,23831.0,30.71,40998.59
Cruzeiro do Sul,259.103,4494.0,17.34,46357.24
Cruz Machado,1478.35,15978.0,10.81,26907.14
Cruzmaltina,312.299,2892.0,9.26,52273.46
Curitiba,434.892,1773718.0,4078.53,49907.02
Curiúva,576.263,13647.0,23.68,18055.67
Diamante do Norte,242.887,5142.0,21.17,59944.36
Diamante do Sul,347.233,3171.0,9.13,21926.22
Diamante D´Oeste,309.11,4557.0,14.74,24255.65
Dois Vizinhos,418.648,44869.0,107.18,48921.89
Douradina,420.604,9161.0,21.78,93597.1
Doutor Camargo,118.279,6327.0,53.49,33469.25
Enéas Marques,192.203,5999.0,31.21,52715.48
Engenheiro Beltrão,467.47,12454.0,26.64,40584.18
Esperança Nova,141.286,1849.0,13.09,39954.49
Entre Rios do Oeste,120.967,4575.0,37.82,67333.74
Espigão Alto do Iguaçu,326.44,4797.0,14.69,40911.0
Farol,289.232,3039.0,10.51,72035.16
Faxinal,715.943,16389.0,22.89,28779.4
Fazenda Rio Grande,116.678,148873.0,1275.93,31927.39
Fênix,234.099,4492.0,19.19,44967.52
Fernandes Pinheiro,406.5,6255.0,15.39,45649.28
Figueira,129.769,8062.0,62.13,21181.49
Floraí,191.133,4792.0,25.07,49000.9
Flor da Serra do Sul,255.721,4364.0,17.07,39855.65
Floresta,158.226,10458.0,66.1,39148.52
Florestópolis,246.853,11446.0,46.37,38640.04
Flórida,83.046,2652.0,31.93,29746.95
Formosa do Oeste,275.901,7635.0,27.67,58437.29
Foz do Iguaçu,609.192,285415.0,468.51,73534.49
Francisco Alves,321.898,8116.0,25.21,48899.41
Francisco Beltrão,735.111,96666.0,131.5,39597.05
Foz do Jordão,235.382,4926.0,20.93,41213.59
General Carneiro,1071.183,11062.0,10.33,32611.06
Godoy Moreira,131.012,2977.0,22.72,25416.43
Goioerê,564.163,28437.0,50.41,37392.3
Goioxim,702.471,6566.0,9.35,44184.49
Grandes Rios,314.198,5641.0,17.95,32114.19
Guaíra,563.742,32097.0,56.94,34033.18
Guairaçá,493.94,6587.0,13.34,41008.09
Guamiranga,244.795,7856.0,32.09,33226.19
Guapirama,189.1,4626.0,24.46,46978.22
Guaporema,201.15,2191.0,10.89,34904.03
Guaraci,211.68,4748.0,22.43,40288.15
Guaraniaçu,1238.32,13735.0,11.09,42780.95
Guarapuava,3168.087,182093.0,57.48,45219.68
Guaraqueçaba,2011.357,7430.0,3.69,15643.19
Guaratuba,1326.67,42062.0,31.7,25866.35
Honório Serpa,502.235,4941.0,9.84,59356.44
Ibaiti,898.221,28830.0,32.1,27578.3
Ibema,145.446,6218.0,42.75,28551.26
Ibiporã,297.742,51603.0,173.31,59501.61
Icaraíma,675.24,8991.0,13.32,32253.35
Iguaraçu,164.983,5338.0,32.35,47491.38
Iguatu,106.937,2144.0,20.05,37319.79
Imbaú,330.734,14249.0,43.08,20535.37
Imbituva,756.535,29924.0,39.55,38757.0
Inácio Martins,936.208,9670.0,10.33,23903.16
Inajá,194.704,2536.0,13.02,18680.84
Indianópolis,122.622,4448.0,36.27,113474.61
Ipiranga,900.721,14142.0,15.7,40139.66
Iporã,647.894,15746.0,24.3,43768.84
Iracema do Oeste,81.538,2343.0,28.74,87715.1
Irati,999.517,59250.0,59.28,37212.5
Iretama,570.459,10684.0,18.73,35316.65
Itaguajé,194.353,4481.0,23.06,27517.51
Itaipulândia,330.846,11485.0,34.71,45291.86
Itambaracá,207.342,5908.0,28.49,34321.07
Itambé,243.822,6111.0,25.06,37372.99
Itapejara d'Oeste,254.014,12344.0,48.6,61623.39
Itaperuçu,322.991,31217.0,96.65,21258.32
Itaúna do Sul,128.87,3572.0,27.72,32503.7
Ivaí,607.848,13229.0,21.76,35427.84
Ivaiporã,436.989,32720.0,74.88,29727.09
Ivaté,410.156,6831.0,16.65,24589.82
Ivatuba,96.661,2708.0,28.02,43529.53
Jaboti,139.277,5427.0,38.97,30019.41
Jacarezinho,602.528,40375.0,67.01,40697.5
Jaguapitã,475.004,15122.0,31.84,75709.97
Jaguariaíva,1453.066,35141.0,24.18,50833.4
Jandaia do Sul,187.6,21408.0,114.12,37131.72
Janiópolis,335.65,5870.0,17.49,48899.02
Japira,187.802,4972.0,26.47,33157.3
Japurá,165.185,9144.0,55.36,33552.33
Jardim Alegre,413.386,12004.0,29.04,33805.27
Jardim Olinda,128.515,1343.0,10.45,43584.29
Jataizinho,159.178,11813.0,74.21,22283.34
Jesuítas,247.496,10506.0,42.45,53568.47
Joaquim Távora,289.173,11945.0,41.31,56092.66
Jundiaí do Sul,320.816,3333.0,10.39,39430.86
Juranda,354.364,7771.0,21.93,60870.69
Jussara,210.869,6690.0,31.73,57314.41
Kaloré,193.299,4582.0,23.7,41457.2
Lapa,2093.859,45003.0,21.49,58401.14
Laranjal,559.439,5600.0,10.01,19763.62
Laranjeiras do Sul,673.688,32227.0,47.84,31951.5
Leópolis,344.918,3752.0,10.88,58364.13
Lidianópolis,151.456,3938.0,26.0,39839.41
Lindoeste,347.093,5175.0,14.91,44761.21
Loanda,722.496,23225.0,32.15,29837.55
Lobato,240.904,4601.0,19.1,44449.25
Londrina,1652.569,555965.0,336.42,40636.89
Luiziana,916.839,6690.0,7.3,75776.65
Lunardelli,199.213,4872.0,24.46,30292.4
Lupionópolis,121.066,4813.0,39.76,26466.49
Mallet,760.224,13428.0,17.66,55371.69
Mamborê,788.061,13452.0,17.07,61489.61
Mandaguaçu,294.019,31457.0,106.99,29426.09
Mandaguari,335.814,36716.0,109.33,53014.37
Mandirituba,379.179,27439.0,72.36,23966.47
Manfrinópolis,215.779,2770.0,12.84,33366.74
Mangueirinha,1055.458,16603.0,15.73,107007.02
Manoel Ribas,571.135,14240.0,24.93,39322.07
Marechal Cândido Rondon,745.748,55836.0,74.87,54115.26
Maria Helena,486.224,5865.0,12.06,24040.1
Marialva,475.564,41851.0,88.0,73526.3
Marilândia do Sul,384.424,8677.0,22.57,53048.12
Marilena,232.363,7253.0,31.21,24602.47
Mariluz,433.17,9847.0,22.73,27537.3
Maringá,487.012,409657.0,841.16,51908.79
Mariópolis,230.365,6371.0,27.66,66104.97
Maripá,283.793,6555.0,23.1,85964.22
Marmeleiro,387.612,15901.0,41.02,44085.52
Marquinho,503.858,4504.0,8.94,26024.98
Marumbi,208.47,4699.0,22.54,22126.59
Matelândia,639.746,18450.0,28.84,60024.71
Matinhos,117.899,39259.0,332.99,24992.19
Mato Rico,394.533,3267.0,8.28,39211.07
Mauá da Serra,108.324,9383.0,86.62,33993.16
Medianeira,328.732,54369.0,165.39,52026.64
Mercedes,197.136,5931.0,30.09,49534.82
Mirador,221.708,2238.0,10.09,58094.56
Miraselva,90.294,1966.0,21.77,29302.32
Missal,324.397,11064.0,34.11,43570.31
Moreira Sales,353.772,11175.0,31.59,25586.92
Morretes,684.58,18309.0,26.74,23612.37
Munhoz de Melo,137.018,3951.0,28.84,33946.78
Nossa Senhora das Graças,185.769,3669.0,19.75,24826.1
Nova Aliança do Ivaí,131.272,1323.0,10.08,33292.16
Nova América da Colina,129.476,3280.0,25.33,28507.42
Nova Aurora,470.642,13765.0,29.25,80918.59
Nova Cantu,555.488,6790.0,12.22,72116.33
Nova Esperança,401.587,26585.0,66.2,33612.53
Nova Esperança do Sudoeste,208.472,5597.0,26.85,32869.52
Nova Fátima,283.423,7225.0,25.49,38786.71
Nova Laranjeiras,1210.205,12074.0,9.98,26898.21
Nova Londrina,269.389,12923.0,47.97,33588.39
Nova Olímpia,136.347,5833.0,42.78,18682.89
Nova Santa Bárbara,76.887,4184.0,54.42,25733.07
Nova Santa Rosa,204.665,8322.0,40.66,52914.12
Nova Prata do Iguaçu,352.565,12699.0,36.02,46729.6
Nova Tebas,545.686,6848.0,12.55,36140.29
Novo Itacolomi,161.411,3125.0,19.36,32234.85
Ortigueira,2429.52,24192.0,9.96,125166.19
Ourizona,176.457,3187.0,18.06,48701.95
Ouro Verde do Oeste,293.042,6785.0,23.15,52789.8
Paiçandu,171.379,45962.0,268.19,25035.43
Palmas,1557.903,48247.0,30.97,30790.74
Palmeira,1470.072,33855.0,23.03,48142.63
Palmital,817.647,13033.0,15.94,25939.77
Palotina,651.238,35011.0,53.76,86939.78
Paraíso do Norte,204.564,13245.0,64.75,26547.42
Paranacity,348.631,9557.0,27.41,27859.98
Paranaguá,822.838,145829.0,177.23,86717.02
Paranapoema,175.875,2398.0,13.63,28083.2
Paranavaí,1202.266,92001.0,76.52,35548.61
Pato Bragado,135.6,5733.0,42.28,42312.81
Pato Branco,539.087,91836.0,170.35,53648.87
Paula Freitas,421.409,5666.0,13.45,74045.21
Paulo Frontin,363.351,6343.0,17.46,53483.78
Peabiru,468.594,13346.0,28.48,32407.58
Perobal,409.05,7189.0,17.57,45512.01
Pérola,236.186,11878.0,50.29,31537.0
Pérola d'Oeste,205.279,6221.0,30.31,38184.61
Piên,254.792,13655.0,53.59,70453.65
Pinhais,60.869,127019.0,2086.76,59079.55
Pinhalão,220.625,6566.0,29.76,39773.88
Pinhal de São Bento,97.463,2761.0,28.33,29268.85
Pinhão,2001.588,29886.0,14.93,54851.08
Piraí do Sul,1345.417,23651.0,17.58,46229.0
Piraquara,227.042,118730.0,522.94,13213.37
Pitanga,1663.747,33567.0,20.18,38430.52
Pitangueiras,123.229,3046.0,24.72,36948.03
Planaltina do Paraná,356.192,4070.0,11.43,24276.36
Planalto,346.241,14374.0,41.51,31778.1
Ponta Grossa,2054.732,358371.0,174.41,54316.58
Pontal do Paraná,200.41,30425.0,151.81,22903.26
Porecatu,291.663,11624.0,39.85,44031.43
Porto Amazonas,186.581,4098.0,21.96,33301.6
Porto Barreiro,361.02,3110.0,8.61,54269.08
Porto Rico,217.676,3182.0,14.62,42532.26
Porto Vitória,213.013,3562.0,16.72,24340.57
Prado Ferreira,152.876,3709.0,24.26,44913.54
Pranchita,226.14,5737.0,25.37,65434.42
Presidente Castelo Branco,155.734,4336.0,27.84,27323.94
Primeiro de Maio,414.442,10082.0,24.33,33335.27
Prudentópolis,2247.141,49393.0,21.98,29782.6
Quarto Centenário,321.875,4201.0,13.05,82131.21
Quatiguá,112.689,8099.0,71.87,28269.42
Quatro Barras,180.471,24191.0,134.04,80039.23
Quatro Pontes,114.393,4480.0,39.16,62721.52
Quedas do Iguaçu,821.503,30738.0,37.42,42255.94
Querência do Norte,914.763,10685.0,11.68,21471.28
Quinta do Sol,326.177,5001.0,15.33,57939.58
Quitandinha,447.024,18398.0,41.16,26262.3
Ramilândia,237.196,4221.0,17.8,25285.9
Rancho Alegre,167.646,3512.0,20.95,49378.6
Rancho Alegre D'Oeste,241.386,2618.0,10.85,90246.03
Realeza,353.416,19247.0,54.46,43774.47
Rebouças,481.84,14514.0,30.12,35785.75
Renascença,425.273,6845.0,16.1,62394.97
Reserva,1635.535,24573.0,15.02,28122.36
Reserva do Iguaçu,834.232,6553.0,7.86,31998.12
Ribeirão Claro,629.224,12364.0,19.65,36125.48
Ribeirão do Pinhal,374.732,13060.0,34.85,26269.94
Rio Azul,599.056,14025.0,23.41,47275.0
Rio Bom,177.836,3197.0,17.98,33008.65
Rio Bonito do Iguaçu,681.406,13929.0,20.44,33349.16
Rio Branco do Ivaí,376.109,3808.0,10.12,28043.39
Rio Branco do Sul,811.425,37558.0,46.29,42153.61
Rio Negro,604.138,31324.0,51.85,37477.75
Rolândia,459.024,71670.0,156.14,52447.59
Roncador,742.121,11251.0,15.16,63312.92
Rondon,555.125,9097.0,16.39,36225.59
Rosário do Ivaí,377.47,5435.0,14.4,28266.01
Sabáudia,190.329,8822.0,46.35,101429.37
Salgado Filho,181.015,4075.0,22.51,36692.89
Salto do Itararé,200.52,5192.0,25.89,21322.09
Salto do Lontra,312.717,15223.0,48.68,35429.43
Santa Amélia,78.045,3394.0,43.49,31442.18
Santa Cecília do Pavão,105.076,3365.0,32.02,47193.99
Santa Cruz de Monte Castelo,442.013,8613.0,19.49,48684.56
Santa Fé,276.241,11378.0,41.19,25928.17
Santa Helena,754.701,25492.0,33.78,54197.49
Santa Inês,156.935,1748.0,11.14,32841.43
Santa Isabel do Ivaí,349.497,8912.0,25.5,29837.51
Santa Izabel do Oeste,321.182,14070.0,43.81,31293.06
Santa Lúcia,126.813,3644.0,28.74,36922.32
Santa Maria do Oeste,836.669,9934.0,11.87,29026.17
Santa Mariana,427.193,11066.0,25.9,42791.96
Santa Mônica,259.957,3356.0,12.91,22463.39
Santana do Itararé,251.269,5514.0,21.94,34909.63
Santa Tereza do Oeste,326.19,13174.0,40.39,57894.02
Santa Terezinha de Itaipu,268.258,24262.0,90.44,28728.52
Santo Antônio da Platina,721.472,44369.0,61.5,32377.92
Santo Antônio do Caiuá,219.068,2493.0,11.38,20707.25
Santo Antônio do Paraíso,167.014,2125.0,12.72,52081.94
Santo Antônio do Sudoeste,325.651,23673.0,72.69,31852.54
Santo Inácio,280.133,6181.0,22.06,98142.7
São Carlos do Ivaí,225.079,6587.0,29.27,56894.74
São Jerônimo da Serra,823.774,10830.0,13.15,29122.78
São João,388.059,11886.0,30.63,87991.12
São João do Caiuá,304.413,5586.0,18.35,26569.18
São João do Ivaí,353.331,10667.0,30.19,36497.91
São João do Triunfo,720.407,13726.0,19.05,37735.83
São Jorge d'Oeste,379.545,9378.0,24.71,52566.77
São Jorge do Ivaí,315.088,5168.0,16.4,72507.92
São Jorge do Patrocínio,406.413,6504.0,16.0,26281.08
São José da Boa Vista,399.667,6040.0,15.11,37579.8
São José das Palmeiras,182.419,3957.0,21.69,27502.48
São José dos Pinhais,946.435,329628.0,348.28,80717.4
São Manoel do Paraná,95.381,2138.0,22.42,28799.62
São Mateus do Sul,1341.714,42366.0,31.58,32181.24
São Miguel do Iguaçu,851.917,29122.0,34.18,53082.67
São Pedro do Iguaçu,308.324,5784.0,18.76,43023.44
São Pedro do Ivaí,322.692,8690.0,26.93,33318.9
São Pedro do Paraná,250.654,2661.0,10.62,39882.77
São Sebastião da Amoreira,226.872,8063.0,35.54,33860.14
São Tomé,218.623,5232.0,23.93,28293.49
Sapopema,677.609,6695.0,9.88,22942.31
Sarandi,103.501,118455.0,1144.48,20962.06
Saudade do Iguaçu,152.084,6108.0,40.16,140973.05
Sengés,1441.333,17270.0,11.98,34196.93
Serranópolis do Iguaçu,482.394,5007.0,10.38,65324.84
Sertaneja,444.492,5616.0,12.63,80884.23
Sertanópolis,505.532,15930.0,31.51,41980.09
Siqueira Campos,278.035,22811.0,82.04,32901.6
Sulina,170.759,3440.0,20.15,55046.1
Tamarana,472.155,10707.0,22.68,25633.93
Tamboara,193.346,4880.0,25.24,24312.5
Tapejara,591.399,15869.0,26.83,30138.8
Tapira,434.371,5745.0,13.23,28143.29
Teixeira Soares,902.793,9547.0,10.57,48305.51
Telêmaco Borba,1382.86,75042.0,54.27,60971.64
Terra Boa,320.85,17568.0,54.75,32908.97
Terra Rica,700.599,14842.0,21.18,22058.69
Terra Roxa,800.807,18119.0,22.63,50881.4
Tibagi,2977.933,19961.0,6.7,69611.31
Tijucas do Sul,671.889,17621.0,26.23,33328.52
Toledo,1198.049,150470.0,125.6,51745.73
Tomazina,591.438,8426.0,14.25,42105.95
Três Barras do Paraná,505.505,11135.0,22.03,36223.55
Tunas do Paraná,668.478,6219.0,9.3,15551.33
Tuneiras do Oeste,698.871,8067.0,11.54,27492.5
Tupãssi,299.769,8077.0,26.94,53232.85
Turvo,938.966,14231.0,15.16,46362.98
Ubiratã,652.581,24749.0,37.92,82368.19
Umuarama,1234.537,117095.0,94.85,36183.64
União da Vitória,719.998,55033.0,76.43,33607.71
Uniflor,94.819,2136.0,22.53,38081.98
Uraí,237.81,10406.0,43.76,32748.89
Wenceslau Braz,397.916,19188.0,48.22,36742.11
Ventania,819.334,9681.0,11.82,28338.49
Vera Cruz do Oeste,327.09,8215.0,25.12,40663.64
Verê,311.801,7932.0,25.44,70446.49
Alto Paraíso,967.772,3055.0,3.16,43223.91
Doutor Ulysses,777.482,5697.0,7.33,17958.74
Virmond,249.094,3811.0,15.3,46837.97
Vitorino,308.218,9706.0,31.49,72445.13
Xambrê,359.712,5798.0,16.12,21426.52
